post_name;poids;Région;Domaine;Appellation;Couleur;Cépage;Millésime;Garde;Contenance;Degré d'alcool;Température dégustation;Alliance mets
champagne-mailly-grand-cru-brut-rose;1.5 kg;Champagne;Mailly Grand Cru;Champagne;;10% Chardonnay, 90% Pinot Noir;;4 ans;75cl;12%;10°C;Apéritif, Tapas, Viande Blanche
champagne-mailly-grand-cru-intemporelle-rose-2009;1.5 kg;Champagne;Mailly Grand Cru;Champagne;;40% Chardonnay, 60% Pinot Noir;;10 ans et +;75cl;12%;10°C;Apéritif, Fruits, Noix de St Jacques, Poissons
champagne-mailly-grand-cru-intemporelle-2010;1.5 kg;Champagne;Mailly Grand Cru;Champagne;Blanc;40% Chardonnay, 60% Pinot Noir;;10 ans et +;75cl;12%;10°C;Apéritif, Fruits, Noix de St Jacques, Poissons
elian-daros-abouriou-2016;1.5 kg;Sud Ouest;Elian Daros;Côtes du Marmandais;Rouge;10% Merlot, 90% Abouriou;2018;4-7 ans;75cl;13,5%;15°C;Charcuterie, Grillades, Viande rouge
elian-daros-cotes-du-marmandais-chante-coucou-2016;1.5 kg;Sud Ouest;Elian Daros;Côtes du Marmandais;Rouge;Cabernet Sauvignon, Malbec, Merlot, Syrah;2017;5-10 ans;75cl;13%;16°C;Gibier, Grillades, Viande rouge
elian-daros-cotes-du-marmandais-clos-baquey-2015;1.5 kg;Sud Ouest;Elian Daros;Côtes du Marmandais;Rouge;Abouriou, Cabernet Franc, Cabernet Sauvignon, Merlot;2014;10-15 ans;75cl;13%;16°C;Gibier, Grillades, Viande rouge
elian-daros-cotes-du-marmandais-vin-fete-2017;1.5 kg;Sud Ouest;Elian Daros;Côtes du Marmandais;Rouge;Abouriou, Cabernet Franc, Merlot;2020;3-5 ans;75cl;13%;14°C;Charcuterie, Grillades, Viande rouge
elian-daros-cotes-du-marmandais-vignoble-elian-2016;1.5 kg;Sud Ouest;Elian Daros;Côtes du Marmandais;Rouge;Cabernet Franc, Merlot, Syrah;2016;4-7 ans;75cl;13%;15°C;Charcuterie, Grillades, Viande rouge
elian-daros-cotes-du-marmandais-coucou-blanc-2016;1.5 kg;Sud Ouest;Elian Daros;Côtes du Marmandais;Blanc;Sauvignon Blanc, Sauvignon Gris, Sémillon;2019;4-7 ans;75cl;14%;11°C;Crustacés, Cuisine Exotique, Viande Blanche
planeta-sicilia-alastro-2017;1.5 kg;Italie;Planeta;Sicilia;Blanc;Grecanico, Grillo, Sauvignon Blanc;2020;3-5 ans;75cl;13,5%;11°C;Cuisine méditerranéenne, Cuisine végétarienne, Fruits de mer
8planeta-sicilia-etna-rosso-2018;1.5 kg;Italie;Planeta;Sicilia;Rouge;Nerello Mascalese;2020;4-7 ans;75cl;13%;14°C;Charcuterie, Grillades, Viande rouge
planeta-sicilia-segreta-bianco-2017;1.5 kg;Italie;Planeta;Sicilia;Blanc;Chardonnay, Fiano, Grecanico, Viognier;2019;3-5 ans;75cl;13%;11°C;Apéritif, Fruits de mer, Poisson grillé, Salade
planeta-sicilia-la-segreta-rosso-2017;1.5 kg;Italie;Planeta;Sicilia;Rouge;Cabernet Franc, Merlot, Nero d'Avola, Syrah;2018;3-5 ans;75cl;13%;14°C;Grillades, Légumes croquants, Viande Blanche, Volaille
planeta-sicilia-plumbago-2017;1.5 kg;Italie;Planeta;Sicilia;Rouge;Nero d'Avola;2019;3-5 ans;75cl;13%;14°C;Grillades, Légumes croquants, Pizza, Viande Blanche
domino-romano-ribera-camino-2016;1.5 kg;Espagne;Domino Romano;Ribera Del Duero;Rouge;Tinto Fino;2018;3-5 ans;75cl;14,5%;16°C;Grillades, Légumes croquants, Volaille
pares-balta-penedes-calcari-2018;1.5 kg;Espagne;Parès Baltà;Penedès;Blanc;Xarel.io;2019;3-5 ans;75cl;12,50%;11°C;Crustacés, Salade, Viande Blanche
pares-balta-penedes-mas-petit-2015;1.5 kg;Espagne;Parès Baltà;Penedès;Rouge;Cabernet Sauvignon, Garnatxa;2016;3-5 ans;75cl;14,5%;16°C;Charcuterie, Grillades, Viande rouge
pares-balta-penedes-indigena-2017;1.5 kg;Espagne;Parès Baltà;Penedès;Rouge;Garnatxa;2019;4-7 ans;75cl;14,5%;16°C;Charcuterie, Grillades, Viande rouge
ollieux-romanis-corbieres-boutenac-atal-sia-2017;1.5 kg;Languedoc-Roussillon;Ollieux Romanis;Corbières Boutenac;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2019;5-10 ans;75cl;14,5%;16°C;Gibier, Grillades, Viande rouge
ollieux-romanis-corbieres-cuvee-prestige-2017;1.5 kg;Languedoc-Roussillon;Ollieux Romanis;Corbières;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2019;4-7 ans;75cl;14,5%;16°C;Gibier, Grillades, Viande rouge
ollieux-romanis-corbieres-cuvee-prestige-blanc-2018;1.5 kg;Languedoc-Roussillon;Ollieux Romanis;Corbières;Blanc;Marsanne, Roussanne;2019;3-5 ans;75cl;14,5%;12°C;Charcuterie, Fromages, Poisson en sauce, Viande Blanche, Volaille
ollieux-romanis-corbieres-classique-2018;1.5 kg;Languedoc-Roussillon;Ollieux Romanis;Corbières;Rouge;Carignan, Grenache, Syrah;2019;3-5 ans;75cl;14,5%;14°C;Grillades, Légumes croquants, Viande rouge
ollieux-romanis-monsieur-pinot-2017;1.5 kg;Languedoc-Roussillon;Ollieux Romanis;Pays d'Oc;Rouge;Pinot Noir;2017;2 ans;75cl;12,50%;13°C;Apéritif, Charcuterie, Volaille
maurel-pays-oc-chardonnay-2019;1.5 kg;Languedoc-Roussillon;Maison Ventenac;Pays d'Oc;Blanc;Chardonnay;2021;3 ans;75cl;12,50%;11°C;Apéritif, Poissons, Volaille
maurel-pays-doc-chenin-colombard-2019;1.5 kg;Languedoc-Roussillon;Maison Ventenac;Pays d'Oc;Blanc;Chenin, Colombard, Sauvignon Blanc;2020;3 ans;75cl;12%;11°C;Apéritif, Crustacés, Fromages, Poissons
maurel-cabardes-tradition-2017;1.5 kg;Languedoc-Roussillon;Maison Ventenac;Cabardès;Rouge;Cabernet Franc, Grenache, Merlot, Syrah;2018;3-5 ans;75cl;13%;15°C;Gibier, Grillades, Viande rouge
hortus-pic-saint-loup-la-bergerie-2018;1.5 kg;Languedoc-Roussillon;Domaine de l'Hortus;Pic Saint-Loup;Rouge;Grenache, Mourvèdre, Syrah;2020;3-5 ans;75cl;13%;15°C;Grillades, Viande Blanche, Volaille
hortus-la-bergerie-blanc-2018;1.5 kg;Languedoc-Roussillon;Domaine de l'Hortus;Val De Montferrand;Blanc;Bourboulenc, Chardonnay, Petit Manseng, Roussanne, Sauvignon Blanc, Sauvignon Gris, Viognier;2019;3-5 ans;75cl;12,50%;11°C;Crustacés, Fromage de chèvre, Fruits de mer, Poisson grillé
hortus-pic-saint-loup-grande-cuvee-2018;1.5 kg;Languedoc-Roussillon;Domaine de l'Hortus;Pic Saint-Loup;Rouge;Grenache, Mourvèdre, Syrah;2019;5-10 ans;75cl;14%;16°C;Gibier, Viande rouge
hortus-la-grande-cuvee-blanc-2018;1.5 kg;Languedoc-Roussillon;Domaine de l'Hortus;Val De Montferrand;Blanc;Chardonnay, Roussanne, Viognier;2020;3-5 ans;75cl;13,5%;12°C;Apéritif, Bouillabaisse, Fromages
borie-vitarele-saint-chinian-terres-blanches-2019;1.5 kg;Languedoc-Roussillon;Borie La Vitarèle;Saint-Chinian;Rouge;Grenache, Syrah;2020;3-5 ans;75cl;14,5%;15°C;Gibier, Grillades, Viande rouge, Volaille
borie-la-vitarele-saint-chinian-les-schistes-2017;1.5 kg;Languedoc-Roussillon;Borie La Vitarèle;Saint-Chinian;Rouge;Carignan, Grenache, Syrah;2020;4-7 ans;75cl;14,5%;16°C;Gibier, Viande rouge, Volaille
borie-la-vitarele-saint-chinian-les-cres-2016;1.5 kg;Languedoc-Roussillon;Borie La Vitarèle;Saint-Chinian;Rouge;Grenache, Mourvèdre, Syrah;2018;6-8 ans;75cl;14,5%;16°C;Gibier, Viande rouge, Volaille
le-pas-de-lescalette-larzac-clapas-rouge-2018;1.5 kg;Languedoc-Roussillon;Le Pas de l'Escalette;Terrasses du Larzac;Rouge;Carignan, Grenache, Syrah;2020;6-8 ans;75cl;13,5%;15°C;Agneau, Légumes croquants, Viande rouge
le-pas-de-lescalette-languedoc-petits-pas-2019;1.5 kg;Languedoc-Roussillon;Le Pas de l'Escalette;Languedoc;Rouge;Carignan, Grenache, Syrah;2020;3-5 ans;75cl;13,5%;14°C;Agneau, Charcuterie, Grillades
liquiere-languedoc-amandiers-blancs-2019;1.5 kg;Languedoc-Roussillon;Château de La Liquière;Languedoc;Blanc;Bourboulenc, Grenache Blanc, Marsanne, Roussanne, Terret Bourret, Viognier;2020;3-5 ans;75cl;14%;11°C;Apéritif, Crustacés, Fromages, Poisson grillé, Salade
le-pas-de-lescalette-coteaux-languedoc-ze-roze-2019;1.5 kg;Languedoc-Roussillon;Le Pas de l'Escalette;Coteaux du Languedoc;Rosé;Cinsault, Syrah;2021;3-5 ans;75cl;13,5%;11°C;Apéritif, Charcuterie, Grillades, Salade
chateau-de-la-liquiere-faugeres-les-amandiers-rouge-2019;1.5 kg;Languedoc-Roussillon;Château de La Liquière;Faugères;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2019;3-5 ans;75cl;14%;14°C;Cuisine méditerranéenne, Grillades, Légumes farcis
chateau-de-la-liquiere-faugeres-cistus-rouge-2017;1.5 kg;Languedoc-Roussillon;Château de La Liquière;Faugères;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2019;6-8 ans;75cl;14,5%;15°C;Canard, Grillades, Viande rouge
chateau-de-la-liquiere-faugeres-cistus-blanc-2019;1.5 kg;Languedoc-Roussillon;Château de La Liquière;Faugères;Blanc;Bourboulenc, Grenache Blanc, Roussanne, Vermentino;2020;4-7 ans;75cl;14%;12°C;Apéritif, Noix de St Jacques, Poisson grillé, Ris de veau
chateau-de-la-liquiere-faugeres-rouge-2017;1.5 kg;Languedoc-Roussillon;Château de La Liquière;Faugères;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2020;3-5 ans;75cl;14%;14°C;Agneau, Pigeon, Viande rouge, Volaille
chateau-de-liquiere-faugeres-tucade-2015;1.5 kg;Languedoc-Roussillon;Château de La Liquière;Faugères;Rouge;Carignan, Grenache, Mourvèdre;2017;10-15 ans;75cl;14,5%;16°C;Gibier, Lièvre, Viande rouge
chateau-de-la-liquiere-faugeres-les-amandiers-rose-2019;1.5 kg;Languedoc-Roussillon;Château de La Liquière;Faugères;Rosé;Cinsault, Grenache, Mourvèdre;2021;2 ans;75cl;13%;11°C;Apéritif, Cuisine Exotique, Grillades, Poisson grillé
moulin-gassac-igp-pays-herault-guilhem-rouge-2019;1.5 kg;Languedoc-Roussillon;Mas de Daumas Gassac;Pays d'Hérault;Rouge;Carignan, Grenache, Syrah;2021;3-5 ans;75cl;13%;17°C;Grillades, Légumes croquants, Viande rouge
moulin-de-gassac-igp-pays-dherault-guilhem-rose-2019;1.5 kg;Languedoc-Roussillon;Mas de Daumas Gassac;Pays d'Hérault;Rosé;Carignan, Syrah;2021;2 ans;75cl;12%;11°C;Apéritif, Grillades, Légumes croquants, Salade
mas-de-daumas-gassac-igp-saint-guilhem-le-desert-2018;1.5 kg;Languedoc-Roussillon;Mas de Daumas Gassac;Saint-Guilhem-le-Désert;Rouge;2,5% Malbec, 2% Pinot Noir, 3,8% Cabernet Franc, 5,3% Tannat, 5,4% Merlot, 72% Cabernet Sauvignon, 9% Variétés rares;2019;15 ans et +;75cl;13,5%;18°C;Canard, Gibier, Légumes du Soleil, Pigeon, Viande rouge
mas-de-daumas-gassac-igp-saint-guilhem-le-desert-blanc-2019;1.5 kg;Languedoc-Roussillon;Mas de Daumas Gassac;Saint-Guilhem-le-Désert;Blanc;13% Chenin, 14% Variétés Rares, 21% Chardonnay, 25% Petit Manseng, 27% Viognier;2020;8-10 ans;75cl;14%;12°C;Asperges, Crustacés, Fromage de chèvre, Fromages, Poissons, Salade
mas-laval-igp-pays-herault-pampres-blanc-2018;1.5 kg;Languedoc-Roussillon;Mas Laval;Pays d'Hérault;Blanc;Chardonnay, Roussanne, Viognier;2019;3 ans;75cl;13%;11°C;Crustacés, Fromage de chèvre, Fromages, Poissons, Salade
mas-laval-igp-pays-dherault-les-pampres-rouges-2017;1.5 kg;Languedoc-Roussillon;Mas Laval;Pays d'Hérault;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2018;3-5 ans;75cl;14%;15°C;Grillades, Légumes croquants, Viande rouge
